id,user_id,game_id,income,played_at,bet,extra_data
56,1,3,0.00,2025-09-17 21:54:50.867744+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
57,1,3,0.00,2025-09-17 21:54:53.004433+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
58,1,3,0.00,2025-09-17 21:54:55.040075+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
59,1,3,0.00,2025-09-17 21:54:57.99607+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
60,1,2,28.80,2025-09-17 22:11:05.126894+00,15.00,"{""coefficient"": 1.92}"
61,1,2,0.00,2025-09-17 22:11:06.236717+00,15.00,"{""coefficient"": 1.92}"
62,1,3,0.00,2025-09-17 22:11:11.610158+00,20.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
63,1,3,0.00,2025-09-17 22:11:14.981855+00,20.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
64,1,1,2.00,2025-09-18 11:16:15.339764+00,20.00,{}
65,1,2,0.00,2025-09-21 16:12:57.157408+00,50.00,"{""coefficient"": 1.5}"
66,1,2,0.00,2025-09-26 23:01:20.206805+00,5.00,"{""coefficient"": 1.92}"
67,1,2,13.35,2025-09-26 23:01:59.501097+00,5.00,"{""coefficient"": 2.67}"
68,1,2,0.00,2025-09-26 23:02:00.53433+00,5.00,"{""coefficient"": 2.67}"
69,1,3,6.00,2025-09-26 23:02:13.342792+00,5.00,"{""coefficient"": 1.2, ""bombs_count"": 3}"
70,1,3,0.00,2025-09-26 23:02:20.266187+00,5.00,"{""coefficient"": -1.0, ""bombs_count"": 3}"
71,1,3,6.00,2025-09-26 23:02:25.048346+00,5.00,"{""coefficient"": 1.2, ""bombs_count"": 3}"
72,1,1,2.00,2025-09-26 23:02:30.462983+00,20.00,{}
73,1,1,1.00,2025-09-26 23:02:38.542107+00,20.00,{}
74,1,1,5.00,2025-09-26 23:02:45.720222+00,20.00,{}
75,1,3,0.00,2025-09-26 23:19:13.269682+00,5.00,"{""coefficient"": -1.0, ""bombs_count"": 3}"
